# Probability function of Tukey's studentize range
0.0                    0	                   0	                   0	                   0	
0.5 0.276326388432697023	0.00334031615814361395	1.41338012634082721e-06	1.79499449051709223e-13	
1.0 0.520499873252793344	0.0450451448857965356	0.000519869453105639332	4.96133756997046548e-08	
1.5 0.711155626492069648	 0.17333545623634089	0.0117242457316804535	3.91435924246640886e-05	
2.0 0.842700785868311097	0.381550520067637122	0.0767857613893441204	0.00233574939053801407	
2.5 0.922900122474715978	0.607457237382550197	0.244302557919722552	0.0309206392840236516	
3.0 0.966105141299180681	0.789123495586902313	0.487815926030929936	0.153743533805648369	
3.5 0.986671666283021498	0.903661536523529096	0.717983561715077268	0.396395054796565949	
4.0 0.995322259993686176	0.962303932281214025	0.873147867854487947	0.663976548831412883	
4.5 0.998537278033069242	0.987274639945928345	0.952694172692665875	0.853391394155485039	
5.0 0.999593042373790763	0.996269726888480811	0.985142562119901477	0.948635336420997177	
5.5 0.999899372245818041	0.999045311050756335	0.996016579597113205	0.985171683309599366	
6.0 0.999977903562201176	0.999785758207076714	0.999078484732309535	0.996397566235203036	
